permitCategoryRef,temporaryCessation,compliancePerformanceBand,billableDays,financialDays,chargePeriod,preConstruction,environmentFlag,expectedCharge,expbaselineCharge,exptemporaryCessation,expcomplianceAdjustment,iteration,expchargeType
2.16.7,false,E,125,365,FY2122,false,TEST,2141.61,4169,0,6253.5,26,","
2.16.8,true,F,130,365,FY2122,false,TEST,1535.96,2875,1437.5,4312.5,27,","
2.16.9,false, ,135,365,FY2122,false,TEST,710.14,1920,0,1920,28,","
2.17.1,true,A,140,365,FY2122,false,TEST,3319.72,18221,9110.5,8654.975,29,","
2.17.10,false,B,145,365,FY2122,false,TEST,1155.63,2909,0,2909,30,","
2.17.11,true,C,150,365,FY2122,false,TEST,1130.36,5001,2500.5,2750.55,31,","
2.17.12,false,D,155,365,FY2122,false,TEST,1307.95,2464,0,3080,32,","
2.17.13,true,E,160,365,FY2122,false,TEST,330.41,1005,502.5,753.75,33,","
2.17.14,false,F,165,365,FY2122,false,TEST,3230.38,2382,0,7146,34,","
2.17.15,true, ,170,365,FY2122,false,TEST,196.55,844,422,422,35,","
2.17.2,false,B,180,365,FY2122,false,TEST,8695.23,17632,0,17632,37,","
2.17.3,true,C,185,365,FY2122,false,TEST,4723.99,16946,8473,9320.3,38,","
2.17.4,false,D,190,365,FY2122,false,TEST,2165.48,3328,0,4160,39,","
2.17.5,true,E,195,365,FY2122,false,TEST,486.43,1214,607,910.5,40,","
2.17.6,false,F,200,365,FY2122,false,TEST,1596.16,971,0,2913,41,","
2.17.7,true, ,205,365,FY2122,false,TEST,1885.72,6715,3357.5,3357.5,42,","
2.17.8,false,A,210,365,FY2122,false,TEST,2251.89,4120,0,3914,43,","
2.17.9,true,B,215,365,FY2122,false,TEST,1521.49,5166,2583,2583,44,","
2.8.1,false,C,220,365,FY2122,false,TEST,4891.72,7378,0,8115.8,45,","
2.8.2,true,D,225,365,FY2122,false,TEST,3569.95,9266,4633,5791.25,46,","
2.8.3,false,E,230,365,FY2122,false,TEST,11014.48,11653,0,17479.5,47,","
2.8.4,true,F,235,365,FY2122,false,TEST,13994.73,14491,7245.5,21736.5,48,","
2.8.5,false, ,240,365,FY2122,false,TEST,10556.71,16055,0,16055,49,","
2.8.6,true,A,245,365,FY2122,false,TEST,700.48,2197,1098.5,1043.575,50,","
2.8.7,false,B,250,365,FY2122,false,TEST,2522.6,3683,0,3683,51,","
2.8.8,true,C,255,365,FY2122,false,TEST,1744.86,4541,2270.5,2497.55,52,","
2.8.9,false,D,260,365,FY2122,false,TEST,5865.14,6587,0,8233.75,53,","
2.11.1,true,E,265,365,FY2122,false,TEST,133.95,246,123,184.5,54,","
2.11.2,false,F,270,365,FY2122,false,TEST,3129.04,1410,0,4230,55,","
2.11.3,true, ,275,365,FY2122,false,TEST,2943.25,7813,3906.5,3906.5,56,","
2.15.1,false,,280,365,FY2122,false,TEST,406.58,530,0,530,57,","
2.15.2,true,,285,365,FY2122,false,TEST,206.92,530,265,265,58,","
2.15.3,false,,290,365,FY2122,false,TEST,421.1,530,0,530,59,","
2.15.4,true,,295,365,FY2122,false,TEST,214.18,530,265,265,60,","
2.16.1,false,E,300,365,FY2122,false,TEST,13768.77,11168,0,16752,61,","
2.16.10,true,F,305,365,FY2122,false,TEST,1390.05,1109,554.5,1663.5,62,","
2.16.11,false, ,310,365,FY2122,false,TEST,9358.6,11019,0,11019,63,","
2.16.13,true, ,315,365,FY2122,false,TEST,3338.14,7736,3868,3868,64,","
2.16.14,false,A,320,365,FY2122,false,TEST,4894.82,5877,0,5583.15,65,","
2.16.15,true,B,325,365,FY2122,false,TEST,1695.79,3809,1904.5,1904.5,66,","
2.16.16,false,C,330,365,FY2122,false,TEST,2094.46,2106,0,2316.6,67,","
2.16.17,true,D,335,365,FY2122,false,TEST,766.37,1336,668,835,68,","
2.16.18,false,E,340,365,FY2122,false,TEST,8204.71,5872,0,8808,69,","
2.16.19,true,F,345,365,FY2122,false,TEST,5679.74,4006,2003,6009,70,","
2.16.2,false, ,350,365,FY2122,false,TEST,7944.52,8285,0,8285,71,","
2.16.20,true,A,355,365,FY2122,false,TEST,1185.92,2567,1283.5,1219.325,72,","
2.16.21,false,B,360,365,FY2122,false,TEST,1837.48,1863,0,1863,73,","
2.16.22,true,C,365,365,FY2122,false,TEST,534.05,971,485.5,534.05,74,","
2.16.3,false,D,365,365,FY2122,false,TEST,6052.5,4842,0,6052.5,75,","
2.16.4,true,E,100,365,FY2122,false,TEST,512.67,2495,1247.5,1871.25,76,","
2.16.5,false,F,105,365,FY2122,false,TEST,1117.6,1295,0,3885,77,","
2.16.6,true, ,110,365,FY2122,false,TEST,873.07,5794,2897,2897,78,","
2.16.7,false,A,115,365,FY2122,false,TEST,1247.84,4169,0,3960.55,79,","
2.16.8,true,B,120,365,FY2122,false,TEST,472.6,2875,1437.5,1437.5,80,","
2.16.9,false,C,125,365,FY2122,false,TEST,723.29,1920,0,2112,81,","
2.17.1,true,D,130,365,FY2122,false,TEST,4056.04,18221,9110.5,11388.125,82,","
2.17.10,false,E,135,365,FY2122,false,TEST,1613.9,2909,0,4363.5,83,","
2.17.11,true,F,140,365,FY2122,false,TEST,2877.29,5001,2500.5,7501.5,84,","
2.17.12,false, ,145,365,FY2122,false,TEST,978.85,2464,0,2464,85,","
2.17.13,true,A,150,365,FY2122,false,TEST,196.18,1005,502.5,477.375,86,","
2.17.14,false,B,155,365,FY2122,false,TEST,1011.53,2382,0,2382,87,","
2.17.15,true,C,160,365,FY2122,false,TEST,203.48,844,422,464.2,88,","
2.17.2,false,E,165,365,FY2122,false,TEST,11955.95,17632,0,26448,90,","
2.17.3,true,F,170,365,FY2122,false,TEST,11838.99,16946,8473,25419,91,","
2.17.4,false, ,175,365,FY2122,false,TEST,1595.62,3328,0,3328,92,","
2.17.5,true,A,180,365,FY2122,false,TEST,284.38,1214,607,576.65,93,","
2.17.6,false,B,185,365,FY2122,false,TEST,492.15,971,0,971,94,","
2.17.7,true,C,190,365,FY2122,false,TEST,1922.51,6715,3357.5,3693.25,95,","
2.17.8,false,D,195,365,FY2122,false,TEST,2751.37,4120,0,5150,96,","
2.17.9,true,E,200,365,FY2122,false,TEST,2123.01,5166,2583,3874.5,97,","
2.8.1,false,F,205,365,FY2122,false,TEST,12431.42,7378,0,22134,98,","
2.8.2,true, ,210,365,FY2122,false,TEST,2665.56,9266,4633,4633,99,","
2.8.3,false,A,215,365,FY2122,false,TEST,6520.89,11653,0,11070.35,100,","
2.8.4,true,B,220,365,FY2122,false,TEST,4367.15,14491,7245.5,7245.5,101,","
2.8.5,false,C,225,365,FY2122,false,TEST,10886.61,16055,0,17660.5,102,","
2.8.6,true,D,230,365,FY2122,false,TEST,865.26,2197,1098.5,1373.125,103,","
2.8.7,false,E,235,365,FY2122,false,TEST,3556.87,3683,0,5524.5,104,","
2.8.8,true,F,240,365,FY2122,false,TEST,4478.79,4541,2270.5,6811.5,105,","
2.8.9,false, ,245,365,FY2122,false,TEST,4421.41,6587,0,6587,106,","
2.15.1,false,,10,365,FY2122,false,TEST,14.52,530,0,530,107,","
2.15.2,true,,20,365,FY2122,false,TEST,14.52,530,265,265,108,","
2.15.3,false,,25,365,FY2122,false,TEST,36.3,530,0,530,109,","
2.15.4,true,,30,365,FY2122,false,TEST,21.78,530,265,265,110,","
2.15.1,false,,44,365,FY2122,false,TEST,63.89,530,0,530,111,","
2.15.2,true,,123,365,FY2122,false,TEST,89.3,530,265,265,112,","
2.15.3,false,,250,365,FY2122,false,TEST,363.01,530,0,530,113,","
2.15.4,true,,365,365,FY2122,false,TEST,265,530,265,265,114,","
