iteration,secondPartCharge,compensationCharge,waterUndertaker,volume,source,eiucSource,season,loss,region,abatementAdjustment,s127Agreement,s130Agreement,billableDays,abstractableDays,expChargeValue,expSucFactor,expVolumeFactor,expSourceFactor,expSeasonFactor,expLossFactor,expAbatementAdjustment,expS127Agreement,expS130Agreement,expEiucSourceFactor,expEiucFactor,expDP_sourceFactor,expDP_seasonFactor,expDP_lossFactor,expDP_volumeFactor,expDP_abatementAdjustment,expDP_s127Agreement,expDP_s130Agreement,expDP_secondPartCharge,expDP_waterUndertaker,expDP_eiucFactor,expDP_compensationCharge,expDP_eiucSourceFactor,expDP_sucFactor
11,false,true,false,0.912,Kielder,Tidal,Winter,Medium,North West,1.00,false,false,210,210,0.00,0,0.912,0,0.16,0.6,S126 x 1.0,,,0.2,0.00,0,0.029184,0.0175104,0.912,0,0,0,false,false,0,true,0.1824,0
12,false,false,false,1004,Supported,,All Year,Medium,Southern,1.00,false,false,309,365,29420.57,19.23,1004,3.0,1.0,0.6,S126 x 1.0,,,0.0,0.0,3012,3012,1807.2,1004,34752.456,34752.456,34752.456,false,false,0,false,0,34752.456
13,false,false,false,100050,Unsupported,,All Year,Low,South West (incl Wessex),1.00,true,false,355,365,28769.38,19.71,100050,1.0,1.0,0.03,S126 x 1.0,S127 x 0.5,,0.0,0.0,100050,100050,3001.5,100050,59159.565,29579.7825,29579.7825,false,false,0,false,0,59159.565
14,true,false,false,100,Tidal,Kielder,Summer,Low,North and South Wessex,1.00,true,false,0,0,9.46,19.71,100,0.2,1.6,0.03,S126 x 1.0,S127 x 0.5,,0.0,0.0,20,32,0.96,100,18.9216,9.4608,9.4608,true,false,0,false,0,18.9216
15,false,true,false,0.66,Kielder,Kielder,Summer,Low,Thames,0.89,false,true,366,366,0.09,0,0.66,0,1.6,0.03,S126 x 0.89,,S130S x 0.833,1.0,3.91,0,1.056,0.03168,0.66,0.110243232,0,0.09186936,false,false,0.1238688,true,0.66,0
16,false,false,false,1008,Supported,,Winter,Very Low,Devon and Cornwall (South West),1.00,false,true,0,2,0.00,19.71,1008,3.0,0.16,0.003,S126 x 1.0,,S130S x 0.833,0.0,0.0,3024,483.84,1.45152,1008,28.6094592,28.6094592,23.84121599,false,false,0,false,0,28.6094592
17,false,false,false,100,Unsupported,,Winter,Very Low,North and South Wessex,0.90,false,false,1,366,0.00,19.71,100,1.0,0.16,0.003,S126 x 0.9,,,0.0,0.0,100,16,0.048,100,0.851472,0.851472,0.851472,false,false,0,false,0,0.94608
18,true,false,false,0,Tidal,Supported,Summer,High,Anglian,1.00,false,false,0,0,0.00,27.51,0,0.2,1.6,1.0,S126 x 1.0,,,0.0,0.0,0,0,0,0,0,0,0,true,false,0,false,0,0
19,false,true,false,0,Kielder,Tidal,Summer,High,Anglian,0.99,false,false,183,183,0.00,0,0,0,1.6,1.0,S126 x 0.99,,,0.2,0.00,0,0,0,0,0,0,0,false,false,0,true,0,0
20,false,false,false,3637,Supported,,All Year,Very Low,Midlands,1.00,false,false,43,366,57.49,14.95,3637,3.0,1.0,0.003,S126 x 1.0,,,0.0,0.0,10911,10911,32.733,3637,489.35835,489.35835,489.35835,false,false,0,false,0,489.35835
21,false,false,false,99999.9,Unsupported,,Winter,High,Wales,0.11,false,true,1,18,704.00,14.40,99999.9,1.0,0.16,1.0,S126 x 0.11,,S130U x 0.5,0.0,0.0,99999.9,15999.984,15999.984,99999.9,25343.97466,25343.97466,12671.98733,false,false,0,false,0,230399.7696
22,true,false,false,0.01,Unsupported,Tidal,Summer,Medium,Northumbria,1.00,false,true,0,0,0.08,16.66,0.01,1.0,1.6,0.6,S126 x 1.0,,S130U x 0.5,0.0,0.0,0.01,0.016,0.0096,0.01,0.159936,0.159936,0.079968,true,false,0,false,0,0.159936
23,false,true,false,1001.999,Tidal,Unsupported,Winter,Medium,Northumbria,0.89,false,false,360,366,0.00,0,1001.999,0,0.16,0.6,S126 x 0.89,,,1.0,0.00,0,160.31984,96.191904,1001.999,0,0,0,false,false,0,true,1001.999,0
24,false,false,false,1002,Kielder,,Winter,Low,North West,1.00,false,false,199,200,541.39,12.57,1002,9.0,0.16,0.03,S126 x 1.0,,,0.0,0.0,9018,1442.88,43.2864,1002,544.110048,544.110048,544.110048,false,false,0,false,0,544.110048
25,false,false,false,1003.33,Supported,,All Year,High,Dee,0.04,true,false,99,101,849.71,14.40,1003.33,3.0,1.0,1.0,S126 x 0.04,S127 x 0.5,,0.0,0.0,3009.99,3009.99,3009.99,1003.33,1733.75424,866.87712,866.87712,false,false,0,false,0,43343.856
26,true,false,false,0.775,Unsupported,Tidal,All Year,Low,Southern,1.00,true,false,0,0,0.22,19.23,0.775,1.0,1.0,0.03,S126 x 1.0,S127 x 0.5,,0.0,0.0,0.775,0.775,0.02325,0.775,0.4470975,0.22354875,0.22354875,true,false,0,false,0,0.4470975
27,false,true,false,1005.22,Tidal,Unsupported,Summer,Very Low,South West (incl Wessex),1.00,true,false,64,75,0.00,0,1005.22,0,1.6,0.003,S126 x 1.0,,,1.0,0.00,0,1608.352,4.825056,1005.22,0,0,0,false,false,0,true,1005.22,0
28,false,false,false,0.123,Kielder,,Summer,High,Southern,0.00,true,false,0,1,0.00,19.23,0.123,9.0,1.6,1.0,S126 x 0.0,S127 x 0.5,,0.0,0.0,1.107,1.7712,1.7712,0.123,0,0,0,false,false,0,false,0,34.060176
29,false,false,false,1007,Supported,,Winter,Medium,South West (incl Wessex),1.00,false,true,361,366,4698.44,19.71,1007,3.0,0.16,0.6,S126 x 1.0,,S130S x 0.833,0.0,0.0,3021,483.36,290.016,1007,5716.21536,5716.21536,4763.512798,false,false,0,false,0,5716.21536
30,true,false,false,2,Unsupported,Kielder,Winter,Medium,Devon and Cornwall (South West),1.00,false,false,0,0,3.78,19.71,2,1.0,0.16,0.6,S126 x 1.0,,,0.0,0.0,2,0.32,0.192,2,3.78432,3.78432,3.78432,true,false,0,false,0,3.78432
31,false,true,true,0.999,Tidal,Other,Winter,Very Low,Wales,1.00,false,false,110,119,0.00,0,0.999,0,0.16,0.003,S126 x 1.0,,,1.0,0.00,0,0.15984,0.00047952,0.999,0,0,0,false,true,0,true,0.999,0
32,false,false,false,8180,Kielder,,Winter,Very Low,Yorkshire,0.50,false,false,210,210,205.49,11.63,8180,9.0,0.16,0.003,S126 x 0.5,,,0.0,0.0,73620,11779.2,35.3376,8180,205.488144,205.488144,205.488144,false,false,0,false,0,410.976288
33,false,false,false,32100.1,Supported,,All Year,Low,Yorkshire,1.00,false,false,309,365,28444.23,11.63,32100.1,3.0,1.0,0.03,S126 x 1.0,,,0.0,0.0,96300.3,96300.3,2889.009,32100.1,33599.17467,33599.17467,33599.17467,false,false,0,false,0,33599.17467
34,true,false,false,0.009,Supported,Supported,All Year,Very Low,Dee,1.00,true,false,0,0,0.00,14.40,0.009,3.0,1.0,0.003,S126 x 1.0,S127 x 0.5,,0.0,0.0,0.027,0.027,0.000081,0.009,0.0011664,0.0005832,0.0005832,true,false,0,false,0,0.0011664
35,false,true,false,0.0001,Tidal,Supported,Summer,High,Dee,0.50,true,false,365,365,0.00,0,0.0001,0,1.6,1.0,S126 x 0.5,,,1.0,0.00,0,0.00016,0.00016,0.0001,0,0,0,false,false,0,true,0.0001,0
36,false,false,false,32100.001,Tidal,,Summer,Medium,Wye,0.01,false,true,366,366,443.75,14.40,32100.001,0.2,1.6,0.6,S126 x 0.01,,S130U x 0.5,0.0,0.0,6420.0002,10272.00032,6163.200192,32100.001,887.5008276,887.5008276,443.7504138,false,false,0,false,0,88750.08276
37,false,false,false,1008,Supported,,Winter,Medium,North and South Wessex,1.00,false,true,0,2,0.00,19.71,1008,3.0,0.16,0.6,S126 x 1.0,,S130S x 0.833,0.0,0.0,3024,483.84,290.304,1008,5721.89184,5721.89184,4768.243198,false,false,0,false,0,5721.89184
38,true,false,false,1,Unsupported,Unsupported,Winter,High,Midlands,1.00,false,true,0,0,1.20,14.95,1,1.0,0.16,1.0,S126 x 1.0,,S130U x 0.5,0.0,0.0,1,0.16,0.16,1,2.392,2.392,1.196,true,false,0,false,0,2.392
39,false,true,true,1.001,Unsupported,Tidal,All Year,High,Devon and Cornwall (South West),0.03,false,false,214,218,0.00,0,1.001,0,1.0,1.0,S126 x 0.03,,,0.2,0.00,0,0.2002,0.2002,1.001,0,0,0,false,true,0,true,0.2002,0
40,false,false,false,32100,Unsupported,,Winter,Medium,North West,0.89,true,false,183,183,17237.39,12.57,32100,1.0,0.16,0.6,S126 x 0.89,S127 x 0.5,,0.0,0.0,32100,5136,3081.6,32100,34474.78368,17237.39184,17237.39184,false,false,0,false,0,38735.712
41,false,false,false,3637,Tidal,,Summer,High,Devon and Cornwall (South West),1.00,false,false,43,366,2695.05,19.71,3637,0.2,1.6,1.0,S126 x 1.0,,,0.0,0.0,727.4,1163.84,1163.84,3637,22939.2864,22939.2864,22939.2864,false,false,0,false,0,22939.2864
42,false,true,false,999999.9999,Kielder,Supported,Winter,Medium,South West (incl Wessex),1.00,false,false,1,18,0.00,0,999999.9999,0,0.16,0.6,S126 x 1.0,,,1.0,0.00,0,160000,95999.99999,999999.9999,0,0,0,false,false,0,true,999999.9999,0
43,true,false,false,0,Supported,Tidal,Winter,Medium,Thames,1.00,false,false,0,0,0.00,13.84,0,3.0,0.16,0.6,S126 x 1.0,,,0.0,0.0,0,0,0,0,0,0,0,true,false,0,false,0,0
44,false,false,false,0.01,Unsupported,,All Year,Low,Yorkshire,0.99,false,false,360,366,0.00,11.63,0.01,1.0,1.0,0.03,S126 x 0.99,,,0.0,0.0,0.01,0.01,0.0003,0.01,0.00345411,0.00345411,0.00345411,false,false,0,false,0,0.003489
45,false,false,false,1001,Tidal,,All Year,Low,Dee,1.00,false,true,199,200,43.03,14.40,1001,0.2,1.0,0.03,S126 x 1.0,,S130U x 0.5,0.0,0.0,200.2,200.2,6.006,1001,86.4864,86.4864,43.2432,false,false,0,false,0,86.4864
46,false,true,false,0.01,Kielder,Kielder,Summer,Low,Wye,1.00,true,false,99,101,0.00,0,0.01,0,1.6,0.03,S126 x 1.0,,,1.0,0.00,0,0.016,0.00048,0.01,0,0,0,false,false,0,true,0.01,0
47,true,false,false,0,Supported,Kielder,Summer,Very Low,Northumbria,1.00,true,false,0,0,0.00,16.66,0,3.0,1.6,0.003,S126 x 1.0,S127 x 0.5,,0.0,0.0,0,0,0,0,0,0,0,true,false,0,false,0,0
48,false,false,false,2,Unsupported,,Winter,Very Low,North West,0.90,true,false,64,75,0.00,12.57,2,1.0,0.16,0.003,S126 x 0.9,S127 x 0.5,,0.0,0.0,2,0.32,0.00096,2,0.01086048,0.00543024,0.00543024,false,false,0,false,0,0.0120672
49,false,false,false,1003,Tidal,,Winter,High,Southern,0.50,true,false,0,366,0.00,19.23,1003,0.2,0.16,1.0,S126 x 0.5,S127 x 0.5,,0.0,0.0,200.6,32.096,32.096,1003,308.60304,154.30152,154.30152,false,false,0,false,0,617.20608
50,false,true,false,11.6,Kielder,Kielder,Summer,High,Wales,1.00,false,false,364,365,0.00,0,11.6,0,1.6,1.0,S126 x 1.0,,,1.0,0.00,0,18.56,18.56,11.6,0,0,0,false,false,0,true,11.6,0
51,true,false,false,10050,Supported,Supported,Summer,Very Low,Wales,1.00,false,true,0,0,1736.64,14.40,10050,3.0,1.6,0.003,S126 x 1.0,,S130S x 0.833,0.0,0.0,30150,48240,144.72,10050,2083.968,2083.968,1736.639999,true,false,0,false,0,2083.968
52,false,false,false,100,Supported,,All Year,High,Wales,0.96,false,true,199,200,3438.72,14.40,100,3.0,1.0,1.0,S126 x 0.96,,S130S x 0.833,0.0,0.0,300,300,300,100,4147.2,4147.2,3455.999999,false,false,0,false,0,4320
53,false,false,false,1.06,Supported,,Winter,Medium,Wales,0.50,false,true,99,101,1.80,14.40,1.06,3.0,0.16,0.6,S126 x 0.5,,S130S x 0.833,0.0,0.0,3.18,0.5088,0.30528,1.06,2.198016,2.198016,1.831679999,false,false,0,false,0,4.396032
54,false,true,false,1008,Tidal,Other,Summer,Medium,North and South Wessex,1.00,false,false,9,99,0.00,0,1008,0,1.6,0.6,S126 x 1.0,,,1.0,0.00,0,1612.8,967.68,1008,0,0,0,false,false,0,true,1008,0
55,true,false,false,100,Kielder,Kielder,Winter,Low,North West,1.00,false,false,0,0,54.30,12.57,100,9.0,0.16,0.03,S126 x 1.0,,,0.0,0.0,900,144,4.32,100,54.3024,54.3024,54.3024,true,false,0,false,0,54.3024
56,false,false,false,8180,Supported,,Winter,High,Dee,1.00,false,false,0,366,0.00,14.40,8180,3.0,0.16,1.0,S126 x 1.0,,,0.0,0.0,24540,3926.4,3926.4,8180,56540.16,56540.16,56540.16,false,false,0,false,0,56540.16
57,false,false,false,32100,Unsupported,,All Year,Low,Southern,1.00,false,false,361,366,18265.51,19.23,32100,1.0,1.0,0.03,S126 x 1.0,,,0.0,0.0,32100,32100,963,32100,18518.49,18518.49,18518.49,false,false,0,false,0,18518.49
58,false,true,true,3637,Tidal,Tidal,All Year,Very Low,Thames,0.50,false,false,2,25,0.00,0,3637,0,1.0,0.003,S126 x 0.5,,,0.2,0.00,0,727.4,2.1822,3637,0,0,0,false,true,0,true,727.4,0
59,true,false,false,999999.9,Kielder,Unsupported,Summer,High,South West (incl Wessex),1.00,false,false,0,0,283823971.62,19.71,999999.9,9.0,1.6,1.0,S126 x 1.0,,,0.0,0.0,8999999.1,14399998.56,14399998.56,999999.9,283823971.6,283823971.6,283823971.6,true,false,0,false,0,283823971.6
60,false,false,false,0.01,Unsupported,,Summer,Medium,South West (incl Wessex),1.00,false,true,210,210,0.09,19.71,0.01,1.0,1.6,0.6,S126 x 1.0,,S130U x 0.5,0.0,0.0,0.01,0.016,0.0096,0.01,0.189216,0.189216,0.094608,false,false,0,false,0,0.189216
61,false,false,false,1001.999,Unsupported,,Winter,Medium,Thames,1.00,false,false,309,365,1127.04,13.84,1001.999,1.0,0.16,0.6,S126 x 1.0,,,0.0,0.0,1001.999,160.31984,96.191904,1001.999,1331.295951,1331.295951,1331.295951,false,false,0,false,0,1331.295951
62,false,true,false,1002,Tidal,Tidal,Winter,Very Low,Thames,0.89,false,false,355,365,0.33,0,1002,0,0.16,0.003,S126 x 0.89,,,0.2,3.91,0,32.064,0.096192,1002,0.334738541,0,0.334738541,false,false,0.37611072,true,200.4,0
63,false,false,false,1003.33,Kielder,,Winter,Very Low,Yorkshire,1.00,false,false,365,365,50.41,11.63,1003.33,9.0,0.16,0.003,S126 x 1.0,,,0.0,0.0,9029.97,1444.7952,4.3343856,1003.33,50.40890453,50.40890453,50.40890453,false,false,0,false,0,50.40890453
64,true,false,false,0,Supported,Unsupported,Winter,Low,Yorkshire,1.00,false,false,0,0,0.00,11.63,0,3.0,0.16,0.03,S126 x 1.0,,,0.0,0.0,0,0,0,0,0,0,0,true,false,0,false,0,0
65,false,false,false,1005,Unsupported,,All Year,Very Low,North and South Wessex,1.00,false,true,0,2,0.00,19.71,1005,1.0,1.0,0.003,S126 x 1.0,,S130U x 0.5,0.0,0.0,1005,1005,3.015,1005,59.42565,59.42565,29.712825,false,false,0,false,0,59.42565
66,false,true,false,100,Supported,Other,All Year,High,North and South Wessex,0.50,true,true,365,366,0.00,0,100,0,1.0,1.0,S126 x 0.5,,S130S x 0.833,1.0,0.00,0,100,100,100,0,0,0,false,false,0,true,100,0
67,false,false,false,2.654,Unsupported,,Summer,Medium,Wye,1.00,false,false,214,366,21.45,14.40,2.654,1.0,1.6,0.6,S126 x 1.0,,,0.0,0.0,2.654,4.2464,2.54784,2.654,36.688896,36.688896,36.688896,false,false,0,false,0,36.688896
68,true,false,false,0.001,Tidal,Unsupported,Summer,Medium,Wye,1.00,false,false,0,0,0.00,14.40,0.001,0.2,1.6,0.6,S126 x 1.0,,,0.0,0.0,0.0002,0.00032,0.000192,0.001,0.0027648,0.0027648,0.0027648,true,false,0,false,0,0.0027648
69,false,false,false,0.999,Unsupported,,Winter,High,Midlands,0.88,true,false,210,211,1.05,14.95,0.999,1.0,0.16,1.0,S126 x 0.88,S127 x 0.5,,0.0,0.0,0.999,0.15984,0.15984,0.999,2.10285504,1.05142752,1.05142752,false,false,0,false,0,2.389608
70,false,true,false,8180,Unsupported,Supported,Winter,Very Low,North West,1.00,true,false,309,365,0.00,0,8180,0,0.16,0.003,S126 x 1.0,,,1.0,0.00,0,1308.8,3.9264,8180,0,0,0,false,false,0,true,8180,0
71,false,false,false,32100.1,Supported,,All Year,Low,Southern,1.00,false,false,355,355,55555.64,19.23,32100.1,3.0,1.0,0.03,S126 x 1.0,,,0.0,0.0,96300.3,96300.3,2889.009,32100.1,55555.64307,55555.64307,55555.64307,false,false,0,false,0,55555.64307
72,false,false,false,3637,Unsupported,,Summer,Very Low,South West (incl Wessex),1.00,false,false,36,41,302.13,19.71,3637,1.0,1.6,0.003,S126 x 1.0,,,0.0,0.0,3637,5819.2,17.4576,3637,344.089296,344.089296,344.089296,false,false,0,false,0,344.089296
73,true,false,false,0.001,Unsupported,Unsupported,Summer,High,North and South Wessex,1.00,false,true,0,0,0.02,19.71,0.001,1.0,1.6,1.0,S126 x 1.0,,S130U x 0.5,0.0,0.0,0.001,0.0016,0.0016,0.001,0.031536,0.031536,0.015768,true,false,0,false,0,0.031536
74,false,true,false,32100.001,Kielder,Tidal,Winter,Medium,Yorkshire,1.00,false,false,0,2,0.00,0,32100.001,0,0.16,0.6,S126 x 1.0,,,0.2,0.00,0,1027.200032,616.3200192,32100.001,0,0,0,false,false,0,true,6420.0002,0
75,false,false,false,0,Supported,,Winter,Medium,Dee,1.00,false,false,365,365,0.00,14.40,0,3.0,0.16,0.6,S126 x 1.0,,,0.0,0.0,0,0,0,0,0,0,0,false,false,0,false,0,0
76,false,false,false,1,Unsupported,,Summer,High,Devon and Cornwall (South West),1.00,false,false,214,218,30.96,19.71,1,1.0,1.6,1.0,S126 x 1.0,,,0.0,0.0,1,1.6,1.6,1,31.536,31.536,31.536,false,false,0,false,0,31.536
77,false,false,false,8180,Tidal,,Summer,High,Wales,1.00,false,false,183,183,37693.44,14.40,8180,0.2,1.6,1.0,S126 x 1.0,,,0.0,0.0,1636,2617.6,2617.6,8180,37693.44,37693.44,37693.44,false,false,0,false,0,37693.44
78,false,true,false,32100,Kielder,Tidal,All Year,Medium,Anglian,0.03,true,false,43,366,0.00,0,32100,0,1.0,0.6,S126 x 0.03,,,0.2,0.00,0,6420,3852,32100,0,0,0,false,false,0,true,6420,0
79,true,false,false,3637,Supported,Tidal,Winter,High,Devon and Cornwall (South West),1.00,false,true,0,0,28674.11,19.71,3637,3.0,0.16,1.0,S126 x 1.0,,S130S x 0.833,0.0,0.0,10911,1745.76,1745.76,3637,34408.9296,34408.9296,28674.10799,true,false,0,false,0,34408.9296
80,false,false,false,999999.9,Unsupported,,Summer,Medium,Midlands,1.00,true,false,1,1,7175999.28,14.95,999999.9,1.0,1.6,0.6,S126 x 1.0,S127 x 0.5,,0.0,0.0,999999.9,1599999.84,959999.904,999999.9,14351998.56,7175999.282,7175999.282,false,false,0,false,0,14351998.56
81,false,false,false,0.01,Unsupported,,Winter,Medium,Northumbria,1.00,false,false,110,119,0.01,16.66,0.01,1.0,0.16,0.6,S126 x 1.0,,,0.0,0.0,0.01,0.0016,0.00096,0.01,0.0159936,0.0159936,0.0159936,false,false,0,false,0,0.0159936
82,false,true,false,0.01,Tidal,Unsupported,Winter,Low,Devon and Cornwall (South West),1.00,true,false,210,210,0.00,0,0.01,0,0.16,0.03,S126 x 1.0,,,1.0,0.00,0,0.0016,0.000048,0.01,0,0,0,false,false,0,true,0.01,0
83,true,false,false,1.1,Kielder,Kielder,All Year,Low,North West,1.00,false,false,0,0,3.73,12.57,1.1,9.0,1.0,0.03,S126 x 1.0,,,0.0,0.0,9.9,9.9,0.297,1.1,3.73329,3.73329,3.73329,true,false,0,false,0,3.73329
84,false,false,false,101.99914,Supported,,All Year,Low,Dee,0.01,false,false,355,365,1.29,14.40,101.99914,3.0,1.0,0.03,S126 x 0.01,,,0.0,0.0,305.99742,305.99742,9.1799226,101.99914,1.321908854,1.321908854,1.321908854,false,false,0,false,0,132.1908854
85,false,false,false,1002,Unsupported,,Summer,Very Low,Southern,1.00,false,false,365,365,92.49,19.23,1002,1.0,1.6,0.003,S126 x 1.0,,,0.0,0.0,1002,1603.2,4.8096,1002,92.488608,92.488608,92.488608,false,false,0,false,0,92.488608
86,false,true,true,1003.33,Unsupported,Other,Summer,Very Low,Thames,0.88,false,true,366,366,0.00,0,1003.33,0,1.6,0.003,S126 x 0.88,,S130U x 0.5,1.0,0.00,0,1605.328,4.815984,1003.33,0,0,0,false,true,0,true,1003.33,0
87,true,false,false,404.404,Kielder,Supported,Winter,High,South West (incl Wessex),1.00,false,false,0,0,11477.96,19.71,404.404,9.0,0.16,1.0,S126 x 1.0,,,0.0,0.0,3639.636,582.34176,582.34176,404.404,11477.95609,11477.95609,11477.95609,true,false,0,false,0,11477.95609
88,false,false,false,10.77,Supported,,Winter,High,South West (incl Wessex),0.90,false,false,365,366,91.45,19.71,10.77,3.0,0.16,1.0,S126 x 0.9,,,0.0,0.0,32.31,5.1696,5.1696,10.77,91.7035344,91.7035344,91.7035344,false,false,0,false,0,101.892816
89,false,true,false,0.1,Unsupported,Unsupported,Winter,High,North and South Wessex,1.00,false,false,214,366,0.00,0,0.1,0,0.16,1.0,S126 x 1.0,,,1.0,0.00,0,0.016,0.016,0.1,0,0,0,false,false,0,true,0.1,0
90,false,false,false,1007,Tidal,,Winter,Medium,Thames,1.00,false,false,183,183,267.59,13.84,1007,0.2,0.16,0.6,S126 x 1.0,,,0.0,0.0,201.4,32.224,19.3344,1007,267.588096,267.588096,267.588096,false,false,0,false,0,267.588096
91,true,false,false,2,Kielder,Unsupported,All Year,Low,Yorkshire,1.00,false,true,0,0,5.23,11.63,2,9.0,1.0,0.03,S126 x 1.0,,S130S x 0.833,0.0,0.0,18,18,0.54,2,6.2802,6.2802,5.233499998,true,false,0,false,0,6.2802
92,false,false,false,0.999,Supported,,All Year,Very Low,North and South Wessex,0.50,false,true,309,365,0.06,19.71,0.999,3.0,1.0,0.003,S126 x 0.5,,S130S x 0.833,0.0,0.0,2.997,2.997,0.008991,0.999,0.088606305,0.088606305,0.073838587,false,false,0,false,0,0.17721261
93,false,false,false,8180,Supported,,Summer,High,Midlands,1.00,false,false,355,355,586996.80,14.95,8180,3.0,1.6,1.0,S126 x 1.0,,,0.0,0.0,24540,39264,39264,8180,586996.8,586996.8,586996.8,false,false,0,false,0,586996.8
94,false,false,false,32100.1,Tidal,,Summer,Medium,Devon and Cornwall (South West),1.00,false,false,365,365,121477.05,19.71,32100.1,0.2,1.6,0.6,S126 x 1.0,,,0.0,0.0,6420.02,10272.032,6163.2192,32100.1,121477.0504,121477.0504,121477.0504,false,false,0,false,0,121477.0504
95,true,false,false,0.009,Kielder,Supported,Summer,Low,Southern,1.00,false,false,0,0,0.07,19.23,0.009,9.0,1.6,0.03,S126 x 1.0,,,0.0,0.0,0.081,0.1296,0.003888,0.009,0.07476624,0.07476624,0.07476624,true,false,0,false,0,0.07476624
96,false,false,false,0.0001,Supported,,Winter,Very Low,South West (incl Wessex),0.88,false,false,0,2,0.00,19.71,0.0001,3.0,0.16,0.003,S126 x 0.88,,,0.0,0.0,0.0003,0.000048,0.000000144,0.0001,2.49765E-06,2.49765E-06,2.49765E-06,false,false,0,false,0,2.83824E-06
97,false,false,false,32100.0012,Supported,,All Year,Very Low,Thames,1.00,false,false,365,365,3998.38,13.84,32100.0012,3.0,1.0,0.003,S126 x 1.0,,,0.0,0.0,96300.0036,96300.0036,288.9000108,32100.0012,3998.376149,3998.376149,3998.376149,false,false,0,false,0,3998.376149
98,false,false,false,1008,Tidal,,Summer,High,Wales,0.20,false,false,183,183,928.97,14.40,1008,0.2,1.6,1.0,S126 x 0.2,,,0.0,0.0,201.6,322.56,322.56,1008,928.9728,928.9728,928.9728,false,false,0,false,0,4644.864
99,true,false,false,1,Unsupported,Unsupported,Winter,Medium,Dee,1.00,false,true,0,0,0.69,14.40,1,1.0,0.16,0.6,S126 x 1.0,,S130U x 0.5,0.0,0.0,1,0.16,0.096,1,1.3824,1.3824,0.6912,true,false,0,false,0,1.3824
