iteration,secondPartCharge,compensationCharge,waterUndertaker,volume,source,eiucSource,season,loss,region,abatementAdjustment,s127Agreement,s130Agreement,billableDays,abstractableDays,expChargeValue,expSucFactor,expVolumeFactor,expSourceFactor,expSeasonFactor,expLossFactor,expAbatementAdjustment,expS127Agreement,expS130Agreement,expEiucSourceFactor,expEiucFactor,expDP_sourceFactor,expDP_seasonFactor,expDP_lossFactor,expDP_volumeFactor,expDP_abatementAdjustment,expDP_s127Agreement,expDP_s130Agreement,expDP_secondPartCharge,expDP_waterUndertaker,expDP_eiucFactor,expDP_compensationCharge,expDP_eiucSourceFactor,expDP_sucFactor
71,false,false,false,32100.1,Supported,,All Year,Low,Southern,1.00,false,false,355,355,55555.64,19.230,32100.1,3.0,1.0,0.03,S126 x 1.0,,,0.0,0.0,96300.3,96300.3,2889.009,32100.1,55555.64307,55555.64307,55555.64307,false,false,0,false,0,55555.64307
72,false,false,false,3637,Unsupported,,Summer,Very Low,South West (incl Wessex),1.00,false,false,36,41,302.13,19.710,3637,1.0,1.6,0.003,S126 x 1.0,,,0.0,0.0,3637,5819.2,17.4576,3637,344.089296,344.089296,344.089296,false,false,0,false,0,344.089296
73,true,false,false,0.001,Unsupported,Unsupported,Summer,High,North and South Wessex,1.00,false,true,0,0,0.02,19.710,0.001,1.0,1.6,1.0,S126 x 1.0,,S130U x 0.5,0.0,0.0,0.001,0.0016,0.0016,0.001,0.031536,0.031536,0.015768,true,false,0,false,0,0.031536
74,false,true,false,32100.001,Kielder,Tidal,Winter,Medium,Yorkshire,1.00,false,false,0,2,0.00,0,32100.001,0,0.16,0.6,S126 x 1.0,,,0.2,0.00,0,1027.200032,616.3200192,32100.001,0,0,0,false,false,0,true,6420.0002,0
75,false,false,false,0,Supported,,Winter,Medium,Dee,1.00,false,false,365,365,0.00,15.54,0,3.0,0.16,0.6,S126 x 1.0,,,0.0,0.0,0,0,0,0,0,0,0,false,false,0,false,0,0
76,false,false,false,1,Unsupported,,Summer,High,Devon and Cornwall (South West),1.00,false,false,214,218,30.96,19.710,1,1.0,1.6,1.0,S126 x 1.0,,,0.0,0.0,1,1.6,1.6,1,31.536,31.536,31.536,false,false,0,false,0,31.536
77,false,false,false,8180,Tidal,,Summer,High,Wales,1.00,false,false,183,183,40677.50,15.54,8180,0.2,1.6,1.0,S126 x 1.0,,,0.0,0.0,1636,2617.6,2617.6,8180,40677.504,40677.504,40677.504,false,false,0,false,0,40677.504
78,false,true,false,32100,Kielder,Tidal,All Year,Medium,Anglian,0.03,true,false,43,366,0.00,0,32100,0,1.0,0.6,S126 x 0.03,,,0.2,0.00,0,6420,3852,32100,0,0,0,false,false,0,true,6420,0
79,true,false,false,3637,Supported,Tidal,Winter,High,Devon and Cornwall (South West),1.00,false,true,0,0,28674.11,19.710,3637,3.0,0.16,1.0,S126 x 1.0,,S130S x 0.833,0.0,0.0,10911,1745.76,1745.76,3637,34408.9296,34408.9296,28674.10799,true,false,0,false,0,34408.9296
80,false,false,false,999999.9,Unsupported,,Summer,Medium,Midlands,1.00,true,false,1,1,7175999.28,14.950,999999.9,1.0,1.6,0.6,S126 x 1.0,S127 x 0.5,,0.0,0.0,999999.9,1599999.84,959999.904,999999.9,14351998.56,7175999.282,7175999.282,false,false,0,false,0,14351998.56
81,false,false,false,0.01,Unsupported,,Winter,Medium,Northumbria,1.00,false,false,110,119,0.01,16.660,0.01,1.0,0.16,0.6,S126 x 1.0,,,0.0,0.0,0.01,0.0016,0.00096,0.01,0.0159936,0.0159936,0.0159936,false,false,0,false,0,0.0159936
82,false,true,false,0.01,Tidal,Unsupported,Winter,Low,Devon and Cornwall (South West),1.00,true,false,210,210,0.00,0,0.01,0,0.16,0.03,S126 x 1.0,,,1.0,0.00,0,0.0016,0.000048,0.01,0,0,0,false,false,0,true,0.01,0
83,true,false,false,1.1,Kielder,Kielder,All Year,Low,North West,1.00,false,false,0,0,6.72,12.570,1.1,16.2,1.0,0.03,S126 x 1.0,,,0.0,0.0,17.82,17.82,0.5346,1.1,6.719922,6.719922,6.719922,true,false,0,false,0,6.719922
84,false,false,false,101.99914,Supported,,All Year,Low,Dee,0.01,false,false,355,365,1.39,15.54,101.99914,3.0,1.0,0.03,S126 x 0.01,,,0.0,0.0,305.99742,305.99742,9.1799226,101.99914,1.426559972,1.426559972,1.426559972,false,false,0,false,0,142.6559972
85,false,false,false,1002,Unsupported,,Summer,Very Low,Southern,1.00,false,false,365,365,92.49,19.230,1002,1.0,1.6,0.003,S126 x 1.0,,,0.0,0.0,1002,1603.2,4.8096,1002,92.488608,92.488608,92.488608,false,false,0,false,0,92.488608
86,false,true,true,1003.33,Unsupported,Other,Summer,Very Low,Thames,0.88,false,true,366,366,0.00,0,1003.33,0,1.6,0.003,S126 x 0.88,,S130U x 0.5,1.0,0.00,0,1605.328,4.815984,1003.33,0,0,0,false,true,0,true,1003.33,0
87,true,false,false,404.404,Kielder,Supported,Winter,High,South West (incl Wessex),1.00,false,false,0,0,20660.32,19.710,404.404,16.2,0.16,1.0,S126 x 1.0,,,0.0,0.0,6551.3448,1048.215168,1048.215168,404.404,20660.32096,20660.32096,20660.32096,true,false,0,false,0,20660.32096
88,false,false,false,10.77,Supported,,Winter,High,South West (incl Wessex),0.90,false,false,365,366,91.45,19.710,10.77,3.0,0.16,1.0,S126 x 0.9,,,0.0,0.0,32.31,5.1696,5.1696,10.77,91.7035344,91.7035344,91.7035344,false,false,0,false,0,101.892816
89,false,true,false,0.1,Unsupported,Unsupported,Winter,High,North and South Wessex,1.00,false,false,214,366,0.00,0,0.1,0,0.16,1.0,S126 x 1.0,,,1.0,0.00,0,0.016,0.016,0.1,0,0,0,false,false,0,true,0.1,0
90,false,false,false,1007,Tidal,,Winter,Medium,Thames,1.00,false,false,183,183,267.59,13.840,1007,0.2,0.16,0.6,S126 x 1.0,,,0.0,0.0,201.4,32.224,19.3344,1007,267.588096,267.588096,267.588096,false,false,0,false,0,267.588096
91,true,false,false,2,Kielder,Unsupported,All Year,Low,Yorkshire,1.00,false,true,0,0,9.42,11.630,2,16.2,1.0,0.03,S126 x 1.0,,S130S x 0.833,0.0,0.0,32.4,32.4,0.972,2,11.30436,11.30436,9.420299996,true,false,0,false,0,11.30436
92,false,false,false,0.999,Supported,,All Year,Very Low,North and South Wessex,0.50,false,true,309,365,0.06,19.710,0.999,3.0,1.0,0.003,S126 x 0.5,,S130S x 0.833,0.0,0.0,2.997,2.997,0.008991,0.999,0.088606305,0.088606305,0.073838587,false,false,0,false,0,0.17721261
93,false,false,false,8180,Supported,,Summer,High,Midlands,1.00,false,false,355,355,586996.80,14.950,8180,3.0,1.6,1.0,S126 x 1.0,,,0.0,0.0,24540,39264,39264,8180,586996.8,586996.8,586996.8,false,false,0,false,0,586996.8
94,false,false,false,32100.1,Tidal,,Summer,Medium,Devon and Cornwall (South West),1.00,false,false,365,365,121477.05,19.710,32100.1,0.2,1.6,0.6,S126 x 1.0,,,0.0,0.0,6420.02,10272.032,6163.2192,32100.1,121477.0504,121477.0504,121477.0504,false,false,0,false,0,121477.0504
95,true,false,false,0.009,Kielder,Supported,Summer,Low,Southern,1.00,false,false,0,0,0.13,19.230,0.009,16.2,1.6,0.03,S126 x 1.0,,,0.0,0.0,0.1458,0.23328,0.0069984,0.009,0.134579232,0.134579232,0.134579232,true,false,0,false,0,0.134579232
96,false,false,false,0.0001,Supported,,Winter,Very Low,South West (incl Wessex),0.88,false,false,0,2,0.00,19.710,0.0001,3.0,0.16,0.003,S126 x 0.88,,,0.0,0.0,0.0003,0.000048,0.000000144,0.0001,2.49765E-06,2.49765E-06,2.49765E-06,false,false,0,false,0,2.83824E-06
97,false,false,false,32100.0012,Supported,,All Year,Very Low,Thames,1.00,false,false,365,365,3998.38,13.840,32100.0012,3.0,1.0,0.003,S126 x 1.0,,,0.0,0.0,96300.0036,96300.0036,288.9000108,32100.0012,3998.376149,3998.376149,3998.376149,false,false,0,false,0,3998.376149
98,false,false,false,1008,Tidal,,Summer,High,Wales,0.20,false,false,183,183,1002.52,15.54,1008,0.2,1.6,1.0,S126 x 0.2,,,0.0,0.0,201.6,322.56,322.56,1008,1002.51648,1002.51648,1002.51648,false,false,0,false,0,5012.5824
99,true,false,false,1,Unsupported,Unsupported,Winter,Medium,Dee,1.00,false,true,0,0,0.75,15.54,1,1.0,0.16,0.6,S126 x 1.0,,S130U x 0.5,0.0,0.0,1,0.16,0.096,1,1.49184,1.49184,0.74592,true,false,0,false,0,1.49184
